cuit,ticker,period_ref,grupo,ROE,ROA,MargenNeto,DeudaEBITDA,EPS,FCF_CE,Payout,CAGR_EPS_5y,CAGR_flag,PER,PriceBook,PriceSales,Precio,MarketCapUSD,Currency,Max52w,Min52w,flag_cnv_fallback,flag_no_significativo,dato_desactualizado,payout_source,provenance,es_financiera,sector,adr_ratio,fuente_fund,payout_status,ev_ebitda,margen_operativo
0001090872,A,2026-07-09,sp500,0.2133051742344245,0.10822809031764255,0.19551991150442477,1.6653930131004366,4.57,0.11229338842975206,0.20155586987270155,0.14719612881567534,edgar,26.68322656623998,5.691670291848443,5.217102096883757,133.58999633789062,37730082364.66333,USD,0.19971561244068226,0.2329487606757834,0,0,0,edgar,EDGAR(10-K),0,Health Care,,edgar,calculado,22.260416137916664,0.215016592920354
30525698412,A3,2026-03-31,byma_only,-0.012058073423973907,-0.009681510786319158,-0.3005394899976544,0.8632509689922481,,-0.003862432731411959,1.5566454470726516,0.011340795149272331,vintage_mixto(2020-09-30..2025-06-30),,,,3425.0,841670432600.0,ARS,-0.3532846715328467,0.5462753950338601,0,0,0,facts(yfinance),ROE; ROA; Margen; D/EBITDA; CAGR(vintage_mixto(2020-09-30..2025-06-30)); Payout(facts); FCF/CE; Precio=ARS,0,Otros,,cnv,calculado,51.83650875726744,0.4242200851120866
0000320193,AAPL,2026-07-09,sp500,1.414705084628391,0.3303178273265747,0.2715188219084622,0.5169525428814322,7.46,0.7627927850788486,0.12686110544564552,0.17861780281938788,edgar,37.890562775842554,,10.288000966345402,316.2200012207031,4644435732248.901,USD,0.0037315561040609513,0.5693300308719758,0,1,0,edgar,EDGAR(10-K),0,Information Technology,,edgar,calculado,29.549030681157806,0.32643396050876966
0001551152,ABBV,2026-07-09,sp500,,0.026637256985409963,0.05786465878157882,4.006148686416993,2.36,0.3228569120142199,3.251169188445667,-0.027994729541583996,edgar,121.46883091232424,,7.028752453338935,249.91000366210938,441539200366.2986,USD,0.046936940556359996,0.3535719929202792,0,1,0,edgar,EDGAR(10-K),0,Health Care,,edgar,calculado,31.42924044259975,0.2440662856779
0001559720,ABNB,2026-07-09,sp500,0.32325178193026394,0.09381988966751155,0.19901953032339686,0.9394215440674106,,0.4411251766310968,,,edgar,34.63644726945703,11.196293299585609,6.89332946763844,146.88999938964844,87179937777.22334,USD,0.022465811596908303,0.32560240615452063,0,0,0,edgar,EDGAR(10-K),0,Consumer Discretionary,,edgar,no_paga,34.02981013331183,0.2049497904641417
0000001800,ABT,2026-07-09,sp500,0.1244349274327861,0.05683289715563847,0.1390525989276377,1.4077743902439024,3.72,0.11643651858281386,0.6673040152963671,0.08273103706617113,edgar,26.199356978233897,3.260115084372193,3.643088678056364,94.4000015258789,164427164395.39594,USD,0.45646189905486834,0.1516408456760685,0,0,0,edgar,EDGAR(10-K),0,Health Care,,edgar,calculado,19.311429050021335,0.1707138742411486
0000947484,ACGL,2026-07-09,sp500,0.21306277742549143,0.05981877563047909,0.24634676644587147,,11.6,0.256226357334966,,0.28429260271004964,edgar,7.293292289274958,1.5539291117288434,1.7966789722074934,101.69999694824219,35532920033.347595,USD,0.03333332833209135,0.23347484187396805,0,0,0,edgar,EDGAR(10-K),0,Financials,,edgar,no_paga,,
0001467373,ACN,2026-07-09,sp500,0.2494904539719416,0.11321234322407132,0.10656208749053274,,12.15,0.40296675052727354,0.3511101508751498,0.09018412826190891,edgar,10.924181948737354,2.7254791136625727,1.1641036325838485,139.05999755859375,85096668183.54071,USD,1.104127795487893,0.17697838140217748,0,0,0,edgar,EDGAR(10-K),0,Information Technology,,edgar,calculado,10.193261734641005,0.1448994225012806
0000796343,ADBE,2026-07-09,sp500,0.6295393189932944,0.24150603013396585,0.286887848241924,0.48756218905472637,16.7,0.63125575683144,,0.09047974417507021,edgar,12.242823706439692,7.707338898707005,3.5123173495456994,222.64999389648438,88503372573.85254,USD,0.6894678372953187,0.17110245957688885,0,0,0,edgar,EDGAR(10-K),0,Information Technology,,edgar,no_paga,9.47358844287263,0.36074291610445275
0000006281,ADI,2026-07-09,sp500,0.09638702960306128,0.06910311863028906,0.26007706476660125,1.4295575574925632,4.56,0.11163536436873003,0.6029313412799779,0.06811545670713692,edgar,57.866571446362585,5.577586935028211,15.0497680498768,393.6400146484375,191736949560.66406,USD,0.13278626935413196,0.8026286735830714,0,0,0,edgar,EDGAR(10-K),0,Information Technology,,edgar,calculado,43.48813769932881,0.3249514351941136
